Date,S&P 500,Nasdaq 100,FTSE 250,MSCI EM,Gold
2004-11-18,0.3996822060701607,0.15203318268875463,0.15937906794621676,0.13960304235455934,0.1493025009403086
2004-11-19,0.39566148132076756,0.14723581518416778,0.1631617247696286,0.14097340864621613,0.15296757007922002
2004-11-22,0.39835381053480734,0.15021431933013776,0.16001520369895617,0.1400399728153026,0.15137669362079625
2004-11-23,0.3984002441404853,0.14871286344877488,0.16089398798921592,0.14043697671149694,0.15155592771002696
2004-11-24,0.3983062223476439,0.1524995547511374,0.15926190935412038,0.1402064422118794,0.14972587133521895
2004-11-25,0.3981332968245578,0.15243334673379763,0.15955140209319388,0.1401759649852989,0.14970598936315183
2004-11-26,0.39822029256234126,0.15088546412097445,0.15920327629484918,0.1422444935738119,0.14944647344802317
2004-11-29,0.39582402048967,0.15217443704954345,0.1598312899963909,0.1420235034401978,0.1501467490241978
2004-11-30,0.39390978530201015,0.1506904430599412,0.16074042718896547,0.1433630614780172,0.15129628297106598
2004-12-01,0.3997701293007857,0.15632910174216963,0.15655824801308404,0.1403432315011719,0.14699928944278878
2004-12-02,0.39823233282807263,0.1578858604724427,0.1570238075629556,0.13999461574240069,0.14686338339412844
2004-12-03,0.3979613610576853,0.15781108458402343,0.15746194554844853,0.1402675423278234,0.14649806648201935
2004-12-06,0.3970284925160018,0.1593291813139185,0.1570075042254912,0.14009556440036322,0.1465392575442253
2004-12-07,0.39309260817242325,0.15402346644902923,0.16145974565586346,0.14130457598572443,0.15011960373695965
2004-12-08,0.39541030151361933,0.15632391880173357,0.16001122058029218,0.13938161670605057,0.14887294239830431
2004-12-09,0.39903066717415514,0.15751440310679218,0.1585259588660135,0.13705856575308123,0.147870405099958
2004-12-10,0.3984496093134602,0.1564169896892488,0.15963798385168695,0.13733104178878466,0.14816437535681945
2004-12-13,0.40215219959075565,0.1583215764092322,0.1581909628477692,0.13567738175403976,0.1456578793982031
2004-12-14,0.4038045659310023,0.15895564542380328,0.15672041698556177,0.1359194104535722,0.14459996120606047
2004-12-15,0.4044576019083149,0.15717136310606694,0.15707842978760506,0.1372549513756619,0.1440376538223512
2004-12-16,0.4047356159392749,0.15358514908601117,0.1590448265532604,0.13754759316907658,0.14508681525237685
2004-12-17,0.4008813167802307,0.15242125769243145,0.16056485881293153,0.13907948628566008,0.1470530804287462
